Ayuntamiento,Código Postal,Dirección,Teléfono,Web,Email,Enlace maps,Horario
Abadiño,48220,"Pz. San Trokaz, 1, 48220 Abadiño",946215530,https://www.abadiño.org,idazkaria@abadiano.eus,https://maps.app.goo.gl/42z82P2khioWeBCe8,L-V: 09:00-14:00
Abanto y Ciervana-Abanto Zierbena,48500,"Avda. El Minero, 2, 48500 Abanto y Ciervana-Abanto Zierbena",946362000,https://www.abanto-zierbena.eus,abantozierbena@abanto-zierbena.org,https://maps.app.goo.gl/XCQUGSyk5u5DihZz8,L-V: 07:30-14:30
Ajangiz,48320,"Mendieta Auzoa, s/n, 48320 Ajangiz",946251913,https://www.ajangiz.eus,robieta.ajangiz@bizkaia.org,https://maps.app.goo.gl/sMry7hzCHe7U4zKV9,
Alonsotegi,48810,"Doctor Madinabeitia, 1, 48810 Alonsotegi",944860030,https://www.alonsotegi.net,alkatea@alonsotegi.net,https://maps.app.goo.gl/q4f3KSDafKL8NcQJ9,L-V: 08:00-13:30
Amorebieta-Etxano,48340,"Herriko Enparantza, s/n, 48340 Amorebieta-Etxano",946300002,https://amorebieta-etxano.eus,kontuhartzailetza@amorebieta.net,https://maps.app.goo.gl/ToZTvXHeFitYHaZA6,L-V: 07:30-15:00
Amoroto,48289,"Elexalde Auzoa, 1, 48289 Amoroto",946842549,https://www.amoroto.net,mblaka.amoroto@bizkaia.org,https://maps.app.goo.gl/w2cW8sdd2KcQ2cTJ7,
Arakaldo,48498,"Barrio Elexalde, 3, 48498 Arakaldo",946721353,https://www.arakaldo.eus,udala.arakaldo@bizkaia.org,https://maps.app.goo.gl/WvtdMLJ9MyCyVusS6,
Arantzazu,48140,"Barrio Celaya, 1, 48140 Arantzazu",946315689,https://www.arantzazukoudala.com,mauriarte.arantzazu@bizkaia.org,https://maps.app.goo.gl/u7jhfb9hCpPqXvnt9,
Areatza,48143,"Gudarien plaza 7,48143 Areatza",946739010,https://www.areatza.net,idazkaritza.areatza@bizkaia.org,https://maps.app.goo.gl/uK5uGUYYJQQ9G5MD7,L:08:00-15:00 15:30-17:30 M-V:08:00-15:00
Arrankudiaga,48498,"Barrio de Arene,1,48498 Arrankudiaga",946481712,https://www.arrankudiaga-zollo.eus,udala@arrankudiaga-zollo.eus,https://maps.app.goo.gl/SQmbQWcTDEwf8aye6,L-V:08:00-15:00
Arratzu,48383,"Loiola Auzoa,2,48383 Arratzu",946256884,https://www.arantzazukoudala.com,udala@arratzu.eus,https://maps.app.goo.gl/LJdkdahRzmaPLtcg9,
Arrieta,48114,"Libao Auzoa,z/g,48114 Arrieta",946153065,https://www.arrieta-udala.net,udala.arrieta@bizkaia.org,https://maps.app.goo.gl/W5DMio3w1CoYzw5j7,L-V:08:30-14:30
Arrigorriaga,48480,"Plaza de Urgoiti,57,48480 Arrigorriaga",944020200,https://www.arrigorriaga.eus/,haz-sac@arrigorriaga.eus,https://maps.app.goo.gl/i4pn36iyWnUk1X6HA,L-V:08:00-13:45
Artea,48142,"Herriko Plaza,1,48142 Artea",946739217,https://www.artea-udala.org,idazkaritza.artea@bizkaia.org,https://maps.app.goo.gl/cMxfhnAjCcyMYwzE7,L-V:08:00-15:00
Artzentales,48879,"Plaza San Miguel,1,48879 Artzentales",946809059,https://www.artzentales.org,idazkaritza.artzentales@bizkaia.org,https://maps.app.goo.gl/H3nkvBCpSbHwnLEL7,
Atxondo,48291,"Plaza de los Fueros,1,48291 Atxondo",946821009,https://www.atxondo.eus,alkatetza@atxondo.eus,https://maps.app.goo.gl/VjoRvGpQz6ZrY6TQ8,
Aulesti,48380,"Donibane Enparantza,1,48380 Aulesti",946279006,https://www.aulesti.eus,idazkaria@aulesti.eus,https://maps.app.goo.gl/sLxYnRJuwRp3ZQee8,L-V:09:00-14:00
Bakio,48130,"Agirre Lehendakaria Plaza,2,48130 Bakio",946194001,https://www.bakio.eus,udala@bakio.eus,https://maps.app.goo.gl/xkmPhCRNLpqRenhR8,
Balmaseda,48800,"Plaza San Severino,1,48800 Balmaseda",946800000,https://www.balmaseda.eus,ayto@balmaseda.eus,https://maps.app.goo.gl/zJaChoQnMHK3kdLo7,L-V:09:00-14:00
Barakaldo,48901,"Herriko Plaza,1,48901 Barakaldo",944789100,http://www.barakaldo.eus,ayuntamiento@barakaldo.eus,https://maps.app.goo.gl/qtSaiZaarcfDpDu48,L-V:09:00-14:00
Barrika,48650,"Udaletxeko bidea,6,48650 Barrika",946771062,https://www.barrika.eus,udala@barrika.eus,https://maps.app.goo.gl/RH1J2HVxrZyNbcgD9,L-V:09:00-14:00
