Departamento;Teléfono;Dirección;Enlace maps;Web;Horario
Acción Social;944066000;Calle Ugasko, 3 - 2 48014 Bilbao (Bizkaia);https://maps.app.goo.gl/3wXQcrZgQAdaBQvy9;https://www.bizkaia.eus/es/accion-social;L-V: 08:30-13:30
Administración Pública y Relaciones Institucionales;944068000;Calle Gran Via, 25 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/XhKkMDG5R3mHKQQ26;https://www.bizkaia.eus/es/administracion-publica-y-relaciones-institucionales;L-J: 08:30-13:30 / 16:00-17:30 | V: 08:30-13:30
Infraestructuras y Desarrollo Territorial;944068000;Calle Ibañez de Bilbao, 20 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/vQpHPgyJ5uYv9fpDA;https://www.bizkaia.eus/es/infraestructuras-y-desarrollo-territorial;L-V: 08:30-13:30
Empleo, Cochesión social e Igualdad;944068000;Alameda Mazarredo, 63 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/eRs16hhCiYx5xrZi9;https://www.bizkaia.eus/es/empleo-cohesion-social-e-igualdad;L-V: 08:30-13:30
Promoción económica;944068000;Calle Obisto Orueta, 6 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/34sk3exDCkUuPDjFA;https://www.bizkaia.eus/es/promocion-economica;L-V: 08:30-13:30
Euskera, Cultura y Deporte;944068000;Alameda Rekalde, 30 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/XfEo3uF6qnMbxZRw8;https://www.bizkaia.eus/es/euskera-cultura-y-deporte;L-V: 08:30-13:30
Hacienda y Finanzas;946083000;Camino Capuchino Basurto, 2 48013 Bilbao (Bizkaia);https://maps.app.goo.gl/zq9rwT1Y8dqxDAZf6;https://www.bizkaia.eus/es/hacienda-y-finanzas1;L-V: 08:30-14:30
Medio Natural y Agricultura;944068000;Alameda Rekalde, 30 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/XfEo3uF6qnMbxZRw8;https://www.bizkaia.eus/es/medio-natural-y-agricultura;L-V: 08:30-14:30
Transportes, Movilidad y Turismo;944068000;Calle Iparraguirre, 21 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/qAohpnPWfDXkJFok7;https://www.bizkaia.eus/es/transportes-movilidad-y-turismo;L-V: 08:30-13:30
Unidad de apoyo a la Diputada General;944068000;Calle Gran Via, 25 48009 Bilbao (Bizkaia);https://maps.app.goo.gl/XhKkMDG5R3mHKQQ26;https://www.bizkaia.eus/es/unidad-de-apoyo-a-la-diputada-general;L-J: 08:30-13:30 / 16:00-17:30 | V: 08:30-13:30
